capture_ts,vehicle_feed_ts,tripupdates_feed_ts,pb_path
1768496529,1768496526,1768496526,tripupdates_snapshots/tripupdates_capture_1768496529_veh_1768496526_tu_1768496526.pb
1768496560,1768496556,1768496556,tripupdates_snapshots/tripupdates_capture_1768496560_veh_1768496556_tu_1768496556.pb
1768510184,1768510182,1768510182,tripupdates_snapshots/tripupdates_capture_1768510184_veh_1768510182_tu_1768510182.pb
1768510215,1768510212,1768510212,tripupdates_snapshots/tripupdates_capture_1768510215_veh_1768510212_tu_1768510212.pb
1768510245,1768510242,1768510242,tripupdates_snapshots/tripupdates_capture_1768510245_veh_1768510242_tu_1768510242.pb
1768510276,1768510272,1768510272,tripupdates_snapshots/tripupdates_capture_1768510276_veh_1768510272_tu_1768510272.pb
1768510307,1768510302,1768510302,tripupdates_snapshots/tripupdates_capture_1768510307_veh_1768510302_tu_1768510302.pb
1768510337,1768510332,1768510332,tripupdates_snapshots/tripupdates_capture_1768510337_veh_1768510332_tu_1768510332.pb
1768510367,1768510362,1768510362,tripupdates_snapshots/tripupdates_capture_1768510367_veh_1768510362_tu_1768510362.pb
1768510398,1768510398,1768510398,tripupdates_snapshots/tripupdates_capture_1768510398_veh_1768510398_tu_1768510398.pb
1768510993,1768510988,1768510988,tripupdates_snapshots/tripupdates_capture_1768510993_veh_1768510988_tu_1768510988.pb
1768511023,1768511018,1768511018,tripupdates_snapshots/tripupdates_capture_1768511023_veh_1768511018_tu_1768511018.pb
1768511053,1768511048,1768511048,tripupdates_snapshots/tripupdates_capture_1768511053_veh_1768511048_tu_1768511048.pb
1768511084,1768511084,1768511084,tripupdates_snapshots/tripupdates_capture_1768511084_veh_1768511084_tu_1768511084.pb
1768511115,1768511114,1768511114,tripupdates_snapshots/tripupdates_capture_1768511115_veh_1768511114_tu_1768511114.pb
1768511145,1768511144,1768511141,tripupdates_snapshots/tripupdates_capture_1768511145_veh_1768511144_tu_1768511141.pb
1768511663,1768511662,1768511662,tripupdates_snapshots/tripupdates_capture_1768511663_veh_1768511662_tu_1768511662.pb
1768511694,1768511692,1768511692,tripupdates_snapshots/tripupdates_capture_1768511694_veh_1768511692_tu_1768511692.pb
1768511724,1768511722,1768511722,tripupdates_snapshots/tripupdates_capture_1768511724_veh_1768511722_tu_1768511722.pb
1768585421,1768585418,1768585421,tripupdates_snapshots/tripupdates_capture_1768585421_veh_1768585418_tu_1768585421.pb
1768585479,1768585478,1768585475,tripupdates_snapshots/tripupdates_capture_1768585479_veh_1768585478_tu_1768585475.pb
1768585509,1768585508,1768585505,tripupdates_snapshots/tripupdates_capture_1768585509_veh_1768585508_tu_1768585505.pb
1768585539,1768585538,1768585535,tripupdates_snapshots/tripupdates_capture_1768585539_veh_1768585538_tu_1768585535.pb
1768585570,1768585568,1768585565,tripupdates_snapshots/tripupdates_capture_1768585570_veh_1768585568_tu_1768585565.pb
1768585601,1768585598,1768585595,tripupdates_snapshots/tripupdates_capture_1768585601_veh_1768585598_tu_1768585595.pb
1768585631,1768585628,1768585631,tripupdates_snapshots/tripupdates_capture_1768585631_veh_1768585628_tu_1768585631.pb
1768585662,1768585658,1768585661,tripupdates_snapshots/tripupdates_capture_1768585662_veh_1768585658_tu_1768585661.pb
1768585692,1768585688,1768585691,tripupdates_snapshots/tripupdates_capture_1768585692_veh_1768585688_tu_1768585691.pb
1768585723,1768585718,1768585721,tripupdates_snapshots/tripupdates_capture_1768585723_veh_1768585718_tu_1768585721.pb
1768585753,1768585748,1768585751,tripupdates_snapshots/tripupdates_capture_1768585753_veh_1768585748_tu_1768585751.pb
1768585783,1768585779,1768585782,tripupdates_snapshots/tripupdates_capture_1768585783_veh_1768585779_tu_1768585782.pb
1768585814,1768585809,1768585812,tripupdates_snapshots/tripupdates_capture_1768585814_veh_1768585809_tu_1768585812.pb
1768589566,1768589562,1768589565,tripupdates_snapshots/tripupdates_capture_1768589566_veh_1768589562_tu_1768589565.pb
1768589596,1768589593,1768589596,tripupdates_snapshots/tripupdates_capture_1768589596_veh_1768589593_tu_1768589596.pb
1768589627,1768589623,1768589626,tripupdates_snapshots/tripupdates_capture_1768589627_veh_1768589623_tu_1768589626.pb
1768589657,1768589653,1768589656,tripupdates_snapshots/tripupdates_capture_1768589657_veh_1768589653_tu_1768589656.pb
1768589688,1768589683,1768589686,tripupdates_snapshots/tripupdates_capture_1768589688_veh_1768589683_tu_1768589686.pb
1768591877,1768591872,1768591875,tripupdates_snapshots/tripupdates_capture_1768591877_veh_1768591872_tu_1768591875.pb
1768591908,1768591902,1768591906,tripupdates_snapshots/tripupdates_capture_1768591908_veh_1768591902_tu_1768591906.pb
1768591938,1768591933,1768591936,tripupdates_snapshots/tripupdates_capture_1768591938_veh_1768591933_tu_1768591936.pb
1768591969,1768591969,1768591966,tripupdates_snapshots/tripupdates_capture_1768591969_veh_1768591969_tu_1768591966.pb
1768592000,1768591999,1768591996,tripupdates_snapshots/tripupdates_capture_1768592000_veh_1768591999_tu_1768591996.pb
1768592030,1768592029,1768592026,tripupdates_snapshots/tripupdates_capture_1768592030_veh_1768592029_tu_1768592026.pb
1768592060,1768592059,1768592056,tripupdates_snapshots/tripupdates_capture_1768592060_veh_1768592059_tu_1768592056.pb
1768592091,1768592089,1768592086,tripupdates_snapshots/tripupdates_capture_1768592091_veh_1768592089_tu_1768592086.pb
1768592121,1768592119,1768592116,tripupdates_snapshots/tripupdates_capture_1768592121_veh_1768592119_tu_1768592116.pb
1768592151,1768592149,1768592146,tripupdates_snapshots/tripupdates_capture_1768592151_veh_1768592149_tu_1768592146.pb
1768592181,1768592179,1768592176,tripupdates_snapshots/tripupdates_capture_1768592181_veh_1768592179_tu_1768592176.pb
1768592212,1768592209,1768592212,tripupdates_snapshots/tripupdates_capture_1768592212_veh_1768592209_tu_1768592212.pb
1768592242,1768592239,1768592242,tripupdates_snapshots/tripupdates_capture_1768592242_veh_1768592239_tu_1768592242.pb
1768592272,1768592269,1768592272,tripupdates_snapshots/tripupdates_capture_1768592272_veh_1768592269_tu_1768592272.pb
1768592303,1768592299,1768592302,tripupdates_snapshots/tripupdates_capture_1768592303_veh_1768592299_tu_1768592302.pb
1768592333,1768592329,1768592332,tripupdates_snapshots/tripupdates_capture_1768592333_veh_1768592329_tu_1768592332.pb
1768592364,1768592359,1768592362,tripupdates_snapshots/tripupdates_capture_1768592364_veh_1768592359_tu_1768592362.pb
1768592394,1768592389,1768592393,tripupdates_snapshots/tripupdates_capture_1768592394_veh_1768592389_tu_1768592393.pb
1768592424,1768592420,1768592423,tripupdates_snapshots/tripupdates_capture_1768592424_veh_1768592420_tu_1768592423.pb
1768592454,1768592450,1768592453,tripupdates_snapshots/tripupdates_capture_1768592454_veh_1768592450_tu_1768592453.pb
1768592485,1768592480,1768592483,tripupdates_snapshots/tripupdates_capture_1768592485_veh_1768592480_tu_1768592483.pb
1768592515,1768592510,1768592513,tripupdates_snapshots/tripupdates_capture_1768592515_veh_1768592510_tu_1768592513.pb
1768592545,1768592540,1768592543,tripupdates_snapshots/tripupdates_capture_1768592545_veh_1768592540_tu_1768592543.pb
1768592576,1768592576,1768592573,tripupdates_snapshots/tripupdates_capture_1768592576_veh_1768592576_tu_1768592573.pb
1768592606,1768592606,1768592603,tripupdates_snapshots/tripupdates_capture_1768592606_veh_1768592606_tu_1768592603.pb
1768592636,1768592636,1768592633,tripupdates_snapshots/tripupdates_capture_1768592636_veh_1768592636_tu_1768592633.pb
1768592667,1768592666,1768592663,tripupdates_snapshots/tripupdates_capture_1768592667_veh_1768592666_tu_1768592663.pb
1768592697,1768592696,1768592693,tripupdates_snapshots/tripupdates_capture_1768592697_veh_1768592696_tu_1768592693.pb
1768592727,1768592726,1768592723,tripupdates_snapshots/tripupdates_capture_1768592727_veh_1768592726_tu_1768592723.pb
1768592758,1768592756,1768592753,tripupdates_snapshots/tripupdates_capture_1768592758_veh_1768592756_tu_1768592753.pb
1768592788,1768592787,1768592784,tripupdates_snapshots/tripupdates_capture_1768592788_veh_1768592787_tu_1768592784.pb
1768592818,1768592817,1768592814,tripupdates_snapshots/tripupdates_capture_1768592818_veh_1768592817_tu_1768592814.pb
1768592849,1768592847,1768592844,tripupdates_snapshots/tripupdates_capture_1768592849_veh_1768592847_tu_1768592844.pb
1768592879,1768592877,1768592874,tripupdates_snapshots/tripupdates_capture_1768592879_veh_1768592877_tu_1768592874.pb
1768592909,1768592907,1768592904,tripupdates_snapshots/tripupdates_capture_1768592909_veh_1768592907_tu_1768592904.pb
1768592940,1768592937,1768592940,tripupdates_snapshots/tripupdates_capture_1768592940_veh_1768592937_tu_1768592940.pb
1768592970,1768592967,1768592970,tripupdates_snapshots/tripupdates_capture_1768592970_veh_1768592967_tu_1768592970.pb
1768593000,1768592997,1768593000,tripupdates_snapshots/tripupdates_capture_1768593000_veh_1768592997_tu_1768593000.pb
1768593031,1768593027,1768593030,tripupdates_snapshots/tripupdates_capture_1768593031_veh_1768593027_tu_1768593030.pb
1768593061,1768593057,1768593060,tripupdates_snapshots/tripupdates_capture_1768593061_veh_1768593057_tu_1768593060.pb
1768593091,1768593087,1768593090,tripupdates_snapshots/tripupdates_capture_1768593091_veh_1768593087_tu_1768593090.pb
1768593122,1768593117,1768593120,tripupdates_snapshots/tripupdates_capture_1768593122_veh_1768593117_tu_1768593120.pb
1768593152,1768593148,1768593151,tripupdates_snapshots/tripupdates_capture_1768593152_veh_1768593148_tu_1768593151.pb
1768593182,1768593178,1768593181,tripupdates_snapshots/tripupdates_capture_1768593182_veh_1768593178_tu_1768593181.pb
1768593213,1768593208,1768593211,tripupdates_snapshots/tripupdates_capture_1768593213_veh_1768593208_tu_1768593211.pb
1768593243,1768593238,1768593241,tripupdates_snapshots/tripupdates_capture_1768593243_veh_1768593238_tu_1768593241.pb
1768593274,1768593274,1768593271,tripupdates_snapshots/tripupdates_capture_1768593274_veh_1768593274_tu_1768593271.pb
1768593304,1768593304,1768593301,tripupdates_snapshots/tripupdates_capture_1768593304_veh_1768593304_tu_1768593301.pb
1768593334,1768593334,1768593331,tripupdates_snapshots/tripupdates_capture_1768593334_veh_1768593334_tu_1768593331.pb
1768593365,1768593364,1768593361,tripupdates_snapshots/tripupdates_capture_1768593365_veh_1768593364_tu_1768593361.pb
1768593395,1768593394,1768593391,tripupdates_snapshots/tripupdates_capture_1768593395_veh_1768593394_tu_1768593391.pb
1768593425,1768593424,1768593421,tripupdates_snapshots/tripupdates_capture_1768593425_veh_1768593424_tu_1768593421.pb
1768593456,1768593454,1768593451,tripupdates_snapshots/tripupdates_capture_1768593456_veh_1768593454_tu_1768593451.pb
1768593486,1768593484,1768593481,tripupdates_snapshots/tripupdates_capture_1768593486_veh_1768593484_tu_1768593481.pb
1768593517,1768593514,1768593511,tripupdates_snapshots/tripupdates_capture_1768593517_veh_1768593514_tu_1768593511.pb
1768593547,1768593544,1768593547,tripupdates_snapshots/tripupdates_capture_1768593547_veh_1768593544_tu_1768593547.pb
1768593580,1768593575,1768593578,tripupdates_snapshots/tripupdates_capture_1768593580_veh_1768593575_tu_1768593578.pb
1768593610,1768593605,1768593608,tripupdates_snapshots/tripupdates_capture_1768593610_veh_1768593605_tu_1768593608.pb
1768593640,1768593635,1768593638,tripupdates_snapshots/tripupdates_capture_1768593640_veh_1768593635_tu_1768593638.pb
1768593671,1768593671,1768593668,tripupdates_snapshots/tripupdates_capture_1768593671_veh_1768593671_tu_1768593668.pb
1768593701,1768593701,1768593698,tripupdates_snapshots/tripupdates_capture_1768593701_veh_1768593701_tu_1768593698.pb
1768593731,1768593731,1768593728,tripupdates_snapshots/tripupdates_capture_1768593731_veh_1768593731_tu_1768593728.pb
1768593762,1768593761,1768593758,tripupdates_snapshots/tripupdates_capture_1768593762_veh_1768593761_tu_1768593758.pb
1768593792,1768593791,1768593788,tripupdates_snapshots/tripupdates_capture_1768593792_veh_1768593791_tu_1768593788.pb
1768593822,1768593821,1768593818,tripupdates_snapshots/tripupdates_capture_1768593822_veh_1768593821_tu_1768593818.pb
1768593853,1768593851,1768593848,tripupdates_snapshots/tripupdates_capture_1768593853_veh_1768593851_tu_1768593848.pb
1768593883,1768593881,1768593878,tripupdates_snapshots/tripupdates_capture_1768593883_veh_1768593881_tu_1768593878.pb
1768593913,1768593912,1768593909,tripupdates_snapshots/tripupdates_capture_1768593913_veh_1768593912_tu_1768593909.pb
1768593944,1768593942,1768593939,tripupdates_snapshots/tripupdates_capture_1768593944_veh_1768593942_tu_1768593939.pb
1768593974,1768593972,1768593969,tripupdates_snapshots/tripupdates_capture_1768593974_veh_1768593972_tu_1768593969.pb
1768594005,1768594002,1768594005,tripupdates_snapshots/tripupdates_capture_1768594005_veh_1768594002_tu_1768594005.pb
1768594035,1768594032,1768594035,tripupdates_snapshots/tripupdates_capture_1768594035_veh_1768594032_tu_1768594035.pb
1768594065,1768594062,1768594065,tripupdates_snapshots/tripupdates_capture_1768594065_veh_1768594062_tu_1768594065.pb
1768594096,1768594092,1768594095,tripupdates_snapshots/tripupdates_capture_1768594096_veh_1768594092_tu_1768594095.pb
1768594126,1768594122,1768594125,tripupdates_snapshots/tripupdates_capture_1768594126_veh_1768594122_tu_1768594125.pb
1768594156,1768594152,1768594155,tripupdates_snapshots/tripupdates_capture_1768594156_veh_1768594152_tu_1768594155.pb
1768594187,1768594182,1768594185,tripupdates_snapshots/tripupdates_capture_1768594187_veh_1768594182_tu_1768594185.pb
1768594217,1768594212,1768594215,tripupdates_snapshots/tripupdates_capture_1768594217_veh_1768594212_tu_1768594215.pb
1768594247,1768594242,1768594246,tripupdates_snapshots/tripupdates_capture_1768594247_veh_1768594242_tu_1768594246.pb
