feed_timestamp,entity_id,vehicle_id,route_id,trip_id,trip_start_date,trip_start_time,stop_id,stop_name,dist_to_stop_m,current_stop_sequence,current_status,congestion_level,vehicle_timestamp,lat,lon,speed_mps,bearing,odometer
1768494853,32,3490101367,15,2181620:564922:568283,20260115,11:26:00,S00571,672 Roosevelt Drive (west side),161.95751416656742,13,2,1,1768494854,44.2332763671875,-76.58869934082031,11.9399995803833,190.5,4679928.0
1768494853,33,3490101808,2,2181307:567602:568518,20260115,10:59:00,S02039,Downtown Transfer Point Platform 4,22.784469400958336,31,1,1,1768494845,44.231178283691406,-76.48435974121094,0.0,,0.0
1768494853,34,3490100045,,,,,,,,,2,,1768494046,44.25632095336914,-76.49748992919922,5.190000057220459,86.69999694824219,0.0
1768494853,35,3490100013,,,,,,,,,2,,1768494434,44.23801040649414,-76.51747131347656,13.0600004196167,321.1000061035156,0.0
1768494853,36,3490101254,702,2182105:568793:568951,20260115,11:30:00,S00616,Arlington Park Place (west side of Gardiners),2.902528024283629,2,1,1,1768494849,44.248844146728516,-76.568359375,1.940000057220459,,1448778.0
1768494853,37,3490100004,,,,,,,,,2,,1768494840,44.251304626464844,-76.4854965209961,2.619999885559082,7.900000095367432,0.0
1768494853,38,3490101901,1,2181426:563865:568923,20260115,11:20:00,S09056,Weller Avenue (west side of First Canada),1.0623676431183102,15,1,1,1768494848,44.26258850097656,-76.49711608886719,0.0,,0.0
1768494853,39,3490102104,13,2181735:566290:568945,20260115,11:31:00,S03045,,,3,2,1,1768494849,44.25083923339844,-76.56841278076172,0.0,,1157556.0
1768494853,40,3490101359,2,2181308:566865:568419,20260115,11:29:00,S02017,300 Conacher Drive (north side),18.934107098727235,12,0,1,1768494849,44.266265869140625,-76.4945297241211,11.109999656677246,288.1000061035156,203376.0
1768494853,41,3490101258,,,,,,,,,2,,1768494847,44.25081253051758,-76.56829071044922,5.269999980926514,311.0,319909.0
1768494853,42,3490101683,501,2199354:567263:568323,20260115,11:00:00,S02077,Cataraqui Centre Transfer Point Platform 1,237.70963272877475,16,2,1,1768494843,44.256507873535156,-76.57437133789062,2.2200000286102295,186.5,659804.0
1768494853,43,3490101951,7,2181727:564508:568390,20260115,11:30:00,S00041,Futures Gate (south side of Princess),168.5659287535493,5,2,1,1768494853,44.25812911987305,-76.55579376220703,11.9399995803833,90.5,710884.0
1768494853,44,3490100055,,,,,,,,,2,,1768494593,44.271453857421875,-76.48419952392578,7.809999942779541,234.89999389648438,0.0
1768494853,45,3490101686,502,2199468:566611:568429,20260115,11:25:00,S09033,Acadia Drive (west side of Bayridge),380.3173825899364,6,2,1,1768494847,44.23561477661133,-76.59349060058594,15.550000190734863,175.1999969482422,1386957.0
1768494853,46,3490100006,,,,,,,,,2,,1768493337,44.2626953125,-76.47981262207031,5.349999904632568,336.0,0.0
1768494853,47,3490101255,601,2182284:563443:568572,20260115,11:17:00,S02039,Downtown Transfer Point Platform 4,335.48797831295394,14,2,1,1768494844,44.23215103149414,-76.48033905029297,2.2200000286102295,281.5,168516.0
1768494853,48,3490101479,32,2181089:565688:568894,20260115,11:15:00,S09153,,,25,0,1,1768494848,44.2419319152832,-76.49452209472656,4.440000057220459,259.29998779296875,1470378.0
1768494853,49,3490100011,,,,,,,,,2,,1768493584,44.238555908203125,-76.54215240478516,3.5999999046325684,353.0,0.0
1768494853,50,3490102106,1,2181358:563632:568400,20260115,10:50:00,S00440,Willingdon Avenue (north side of Union),5.622033730648753,44,1,1,1768494853,44.2254524230957,-76.50699615478516,3.049999952316284,241.6999969482422,1552152.0
1768494853,51,3490101805,602,2182315:567162:568361,20260115,11:15:00,S09205,Rideau Town Centre (south side of Gore),5.283386449959147,8,1,1,1768494852,44.25953674316406,-76.45610809326172,1.659999966621399,,1984165.0
1768494853,52,3490100036,,,,,,,,,2,,1768493739,44.23158264160156,-76.48428344726562,0.0,,0.0
1768494853,53,3490101481,501,2199356:564108:568300,20260115,11:30:00,S00427,Kingston General Hospital (north side of Stuart),2.2354662761387316,2,1,1,1768494852,44.224449157714844,-76.49478149414062,0.0,,907838.0
1768494853,54,3490101478,4,2199561:564677:568925,20260115,11:15:00,S00400,Andersen Drive (north side of Princess),162.36405164621107,15,2,1,1768494850,44.258235931396484,-76.54769134521484,14.4399995803833,268.3999938964844,128901.0
1768494853,55,3490101920,,,,,,,,,2,,1768494080,44.26122283935547,-76.5070571899414,0.0,,622302.0
1768494853,56,3490101687,,,,,,,,,2,,1768492045,44.26175308227539,-76.50711059570312,0.0,,442293.0
1768494853,57,3490101482,,,,,,,,,2,,1768492846,44.261375427246094,-76.50698852539062,0.0,,67465.0
1768494853,58,3490100064,,,,,,,,,2,,1768493544,44.220619201660156,-76.5223159790039,12.75,264.1000061035156,0.0
1768494853,59,3490101502,6,2181492:564351:568424,20260115,11:30:00,S00524,Invista (north side of Front),1645.5893390854558,4,2,1,1768494842,44.22003936767578,-76.53919219970703,7.21999979019165,274.0,111567.0
1768494853,60,3490100047,,,,,,,,,2,,1768494230,44.254981994628906,-76.57237243652344,0.0,,0.0
1768494853,61,3490100041,,,,,,,,,2,,1768494607,44.2236213684082,-76.52564239501953,3.6500000953674316,88.19999694824219,0.0
1768494853,62,3490101046,4,2199409:564219:569001,20260115,11:10:00,S02052,Westdale Avenue (south side of Bath),113.74593510880204,13,2,1,1768494841,44.240638732910156,-76.51499938964844,9.979999542236328,83.19999694824219,0.0
1768494853,63,3490102105,1,2181382:563334:568520,20260115,11:35:00,S02070,St. Lawrence College Transfer Point,35.06670882155924,1,1,1,1768494844,44.2235221862793,-76.52607727050781,0.0,,2206670.0
